Initiator,Recipient
32445,42019
33368,40531
42019,32445
38987,38823
41807,41657
41475,41518
33191,36291
32287,36291
33867,33100
37498,33368
41518,32267
39725,33007
41807,41657
40452,28384
39743,33191
41807,41657
31873,37244
32267,41518
41651,33856
41460,35977
37229,41320
32858,42159
33191,36056
41651,42145
41694,41657
31873,41657
37498,32479
37972,36399
34992,39743
41547,39743
37229,41463
39561,41518
39561,33007
36083,34110
39725,36083
34972,41197
42159,41694
41478,41518
35719,39632
31873,41657
33368,27840
41463,27840
36056,31873
34972,41458
36464,33368
33856,41797
41657,41807
42159,32858
39937,37972
39937,37972
36291,33007
41320,41518
36399,34887
36056,31873
32858,34847
39743,41547
34847,32858
36083,34110
39937,37972
32445,42019
39937,37972
42159,32858
33368,31873
28432,38861
41657,31873
41854,33191
34887,41694
32858,42159
36464,33856
41518,32267
37383,41478
41854,33191
38728,42145
41797,42145
39937,37972
41518,37947
41651,41657
41716,41854
36291,37947
33007,39725
41467,39725
34847,32858
38728,41694
28432,39743
41716,41854
41651,41807
41797,41694
34847,32858
28432,41320
41716,41854
42019,32445
42019,41460
32445,41460
41694,41807
32858,34847
39937,37972
39937,37972
32858,34847
35606,40531
37192,33368
41463,33368
38728,33856
28432,41888
39561,33100
35061,27635
41807,41657
38861,28432
34887,31873
32858,42159
41320,41197
30049,37244
37972,37498
41807,41657
32858,42159
41475,37229
38987,34765
33866,27840
33368,35606
39561,32267
41651,41475
39561,41518
34110,33191
41854,33191
41854,41547
33100,31873
32445,36464
37244,30049
42159,41694
33866,38987
37542,34847
28432,31873
27840,31873
36399,37498
33866,37498
37498,33866
37947,28384
41797,41518
32445,42019
32287,37947
32445,42019
42019,32445
34765,37947
40033,32267
39632,39743
41547,34992
39937,36083
32287,39066
41463,41518
41475,41518
42145,41694
42159,41694
42159,42145
39937,36083
33191,34110
33111,33368
39743,31873
41463,41475
41463,41518
41475,41518
42145,41694
41694,41651
41320,40531
33856,41197
37498,36464
41657,31873
35719,34992
41547,34992
34847,37542
41463,33368
34847,37542
28432,37229
41888,41650
34847,37542
37498,42159
32858,41854
33191,41854
33191,33368
42019,32445
35606,27840
36464,37498
34765,41320
33368,41463
41547,39743
40452,39937
35606,36056
41854,33191
39632,33191
41258,35719
37542,34847
34992,34765
37947,32287
34992,33191
41518,38861
32287,37947
38823,35061
41463,33368
37542,34847
41467,38823
34887,33856
33856,41694
34765,37947
33191,39743
33191,41854
41463,33368
36464,34992
32445,42019
38728,33856
33191,41854
33368,41463
35719,41854
33191,41854
37244,31873
41657,31873
36056,37244
41854,33191
42019,32445
39632,35719
33856,38987
31873,36464
31873,33368
31873,41463
34887,37498
33368,41463
33368,41463
41518,41475
41320,41475
40033,32267
31873,37244
40033,42159
36056,32858
33368,41463
32445,42019
41694,34887
41797,34887
34992,36464
35719,36464
33368,41463
41475,41651
41657,41651
41694,41651
33368,41463
41716,41854
41657,41651
41657,41694
34765,39066
36291,32858
36291,36056
32858,36056
41651,41694
33191,41854
39066,32858
41478,37542
38823,35061
38823,41463
35061,37383
32858,39066
41478,37542
36083,39561
41458,34972
41320,37229
42145,41694
33368,31873
36056,42159
36056,31873
34765,41518
33191,41854
41478,37542
41518,41320
32445,42019
36056,31873
33368,31873
41888,38861
41320,41518
27635,38823
35719,41258
41518,41320
40452,28384
37972,32267
32479,33867
38823,27635
30049,41197
33100,39937
34765,39743
36464,33191
34887,31873
41258,39632
27635,38823
36291,38823
36291,33856
41657,42159
34765,37947
33007,39725
36464,33368
35606,33368
41463,40531
42145,41797
33856,41797
33856,36291
34992,32287
32267,37947
33007,36464
34887,31873
34847,27840
35606,40531
32445,42019
33100,39066
32479,36056
41716,38238
38238,35061
41478,37542
41320,34765
39561,34765
42019,32445
37972,32267
33856,41797
42159,32858
37498,38987
37947,32287
32267,40033
41547,39743
39632,39743
39632,35719
34972,41458
34972,33856
28406,34110
41258,35719
28406,34110
27635,38823
37244,31873
42019,32445
32287,37947
32445,42019
37972,38728
32858,39066
41854,33191
36464,30049
34972,36464
32445,42019
32858,42159
33368,41463
41463,27840
42159,32858
36464,32858
33100,33867
42159,41657
36083,35061
37383,35061
36291,37498
41694,41518
42145,41797
42145,41518
35606,33368
41463,33368
41467,41650
32287,33191
36464,33867
37244,33867
37244,33100
34972,41197
30049,41197
33111,34845
34845,38987
35977,40033
42019,40033
41547,34992
34847,37383
41475,41320
37229,41320
36291,37498
35606,33368
41463,33368
41467,41650
41650,33812
35061,27635
33191,33867
36056,34887
41694,34887
41797,34887
41797,41694
36464,34972
36464,41197
30049,41197
30049,41458
39632,38238
37972,38728
34110,28406
37192,33368
34887,31873
36056,42159
28384,41650
41467,41650
41475,37229
39066,37244
40531,35606
33368,27840
37192,33856
41258,35719
32858,32479
28384,40452
33867,33100
33867,33191
32445,40033
32287,39937
37947,32267
35606,32267
35606,27840
32267,34765
42159,32858
31873,41657
41694,41657
35061,38823
33368,40531
39561,34765
37947,34765
37947,32267
41478,41650
41478,38987
39937,39725
41475,41518
36399,34887
36399,31873
34887,31873
41807,41657
39743,39632
41458,39632
38728,37972
35606,40531
35977,41460
41320,37229
32479,32267
34765,32267
39561,33100
33867,33100
33867,41463
34110,41463
28406,39632
41458,39632
28384,41650
33111,38823
35061,38823
41518,38987
32287,39937
39725,41197
33812,41197
33812,34972
32445,40033
36291,37498
35977,41460
40531,41460
33867,33100
27840,33100
27840,41463
27635,35061
37383,38823
37192,33368
42159,31873
31873,35606
32479,36399
32445,42019
33812,32267
39066,34845
34887,34845
34110,33191
41854,33191
34765,41518
32479,32858
36291,37498
31873,37244
27840,37244
33368,36464
32858,32479
41694,41807
34887,33856
37244,31873
33368,35606
35606,27840
41463,27840
36291,37498
37244,31873
33812,36291
42145,33856
37383,38823
37542,41478
27635,41478
35061,34110
41463,33368
37229,41320
34992,41547
32445,40033
32858,32479
37972,38728
37947,35606
31873,35606
31873,36291
37498,36291
32267,34765
32267,36464
34845,27840
39066,27840
41258,35719
39632,35719
39937,32287
34992,41547
40033,42019
37972,38728
33856,37498
41463,33368
31873,33368
31873,27840
42159,36056
38728,37972
31873,41657
36083,32287
41807,41518
41807,41657
33368,41463
41854,41716
33856,41797
32445,33100
32287,33100
36399,33111
33866,27840
34765,37947
32267,37947
41463,33368
37192,33368
42145,41694
42159,41694
42159,41807
37229,41475
34972,41197
40531,35606
39066,37244
31873,37244
31873,36399
34887,36399
33867,42159
33867,33100
33100,33866
37947,32267
39561,32267
41458,34972
38823,35061
36464,27840
33856,33100
33867,33100
33867,42159
36291,33368
36291,34887
33368,34887
34887,36399
31873,36399
31873,39066
33191,39066
37947,34765
39632,34992
41258,34992
41258,35719
37542,35719
41657,41807
41320,37229
28432,38861
33368,37192
32479,31873
42159,31873
42159,32858
39937,38823
37947,34765
39561,34765
36291,41478
41650,28384
33191,33191
41467,41650
33856,42145
39066,31873
33867,39066
35606,40531
36399,31873
36464,33191
41460,35977
41320,37229
41518,41475
41320,41475
34972,30049
34992,39743
41547,39743
33866,41478
33866,37498
39632,33191
33856,34845
36399,34887
33368,37192
28432,38861
31873,39743
40033,36056
42159,31873
41807,41694
42159,31873
41518,38728
33856,41797
41467,28384
39632,35719
39632,38861
33100,32479
34847,33812
41807,41657
34110,36083
39561,32267
33368,27840
33100,41467
37498,33866
41463,27840
41807,41657
31873,33100
33100,36399
37498,36291
41518,36083
34847,39725
41650,33812
35719,33191
37498,36291
38728,42145
41657,41807
37947,32267
41716,41854
41807,41657
39937,32287
41854,33191
32858,36056
33368,37192
41467,41320
41694,33856
38728,42145
39743,41547
41519,41460
34765,39632
41320,40531
33856,41797
39743,34992
41547,41854
36056,31873
36291,33368
38823,27635
37947,34765
37498,33866
39632,34992
41650,33812
41657,31873
34972,41458
33856,41797
39066,33867
27840,35606
36056,37244
34972,33867
41475,41320
31873,41657
33368,36291
36291,27840
41547,34992
41694,42145
41716,41854
41518,41475
33368,41463
36291,41650
33812,41650
36056,40033
41807,41657
34992,41547
33368,27840
31873,34887
36291,37229
36464,32858
36056,32858
36056,33368
41807,41657
32267,37947
34992,39632
39066,34765
41518,39561
33191,41854
33368,37192
35606,37498
33866,37498
33866,34845
41460,35977
41854,33191
33812,32267
36464,34765
35606,33866
34845,33866
41650,28384
34847,27635
33812,33866
34845,33866
35719,41258
38823,34847
28384,41650
41467,41650
37972,36399
37229,41475
41694,41807
28432,41478
37947,32267
32445,42019
41694,34887
41807,41518
41807,41657
28384,40452
41716,41854
37192,35606
37947,32267
41463,33368
34845,41807
34992,41547
31873,41657
41320,41518
41475,37229
28432,34972
34992,39743
36464,37383
33368,41463
38728,37972
31873,34887
34887,41694
30049,34972
33368,41463
37229,34845
37229,36056
36464,33856
36464,41797
41694,41797
41519,41460
36056,40033
37192,33368
41716,41854
37229,41467
36464,41320
41197,41320
32445,32267
34765,37947
41716,38238
33100,37244
41467,32287
41650,33812
36291,34887
41197,40033
31873,34765
37947,34765
36291,37498
41518,41320
37229,41320
41657,41694
36083,39937
41716,40033
38861,28432
34847,33111
36083,33111
39937,36083
33191,28406
35719,39632
34765,32267
32267,37947
40033,40531
41716,41854
30049,41197
34972,41197
34972,41518
41854,38238
35606,36464
39066,37244
38861,28432
38861,33867
34847,38987
33812,41650
39725,41650
32479,33856
41797,33856
35719,41258
42019,32445
40033,32445
32267,37947
37947,34765
36291,37498
39632,34992
39743,34992
39743,28432
33856,41694
41797,41694
30049,41197
34972,41197
39066,37244
36464,35606
33368,37244
33100,33867
41460,35977
28406,35977
37192,37542
32445,40033
32445,42019
36291,37498
39937,33866
31873,34887
31873,37972
41475,40531
36464,34765
36464,33368
33191,33368
33191,41657
33856,41657
32479,38728
41258,39632
27635,37542
37244,40452
41320,37229
28432,32445
33867,41467
41650,41467
41650,41478
34972,36399
36056,36399
34972,41797
39743,38238
31873,41657
41694,41657
37192,35606
33100,37972
33100,34887
40033,36056
39066,31873
34765,32267
33191,41854
32287,41650
36464,36056
36291,32858
41197,41258
35606,40531
41478,41650
32479,37542
41547,39743
34992,39743
34992,39632
41854,33191
32858,36056
31873,36056
41460,41519
35977,41519
35977,33368
39066,37244
33867,39937
33856,41797
41320,37229
39561,32267
39632,35719
39632,41258
31873,42145
34992,39632
34847,35977
36056,40033
36464,34887
35719,34887
37229,41475
39632,34992
41258,34992
41258,39743
42145,38728
41650,41467
36083,34765
34110,31873
41463,33368
33191,33368
37542,34765
37947,34765
32267,33867
32267,36464
33867,36464
39743,34992
34992,39632
34110,33007
36083,40452
