Initiator,Recipient
41070,41204
42736,40448
36602,41945
37279,37161
37451,40962
42602,39869
40448,40342
41050,37430
41139,37430
41204,41824
36602,41165
42911,36722
35945,36602
41858,42066
37585,40100
37585,40100
37279,41050
40962,43055
43055,40962
37430,40109
37389,41204
36446,37451
40170,37150
35545,37585
36831,40100
42601,41858
42602,43055
42106,36446
42148,41824
37585,35545
36831,40100
40962,37585
37430,40109
42601,35945
35545,37585
36831,40100
41749,41579
41778,41579
37430,36831
41301,36831
40962,41139
36831,37389
37451,37389
37161,37749
39847,41824
42430,41824
41070,40100
41050,35991
37161,36766
41749,41579
36602,42869
41222,40100
37389,35253
37161,35253
41858,37477
35545,37585
37430,41139
42736,43055
36831,35945
35991,41222
42469,40109
41162,36228
41749,36228
43055,37663
36602,40100
36831,36228
37279,35991
35545,39869
37585,36831
36228,37663
40170,36766
41903,37056
41061,41204
41301,42430
37477,41778
37451,42911
40436,35253
40448,36831
42736,42601
37451,42911
42911,37161
37050,41070
37663,41070
41301,36228
42622,39242
41858,41026
39847,41824
40109,37430
37451,41050
42901,36722
39869,42066
42430,37389
42106,36446
35545,37585
36602,42869
41749,36722
41858,39242
35545,37585
36446,42106
40109,35991
36446,42106
37585,41162
36722,41026
40109,35991
39847,36228
37056,42066
37056,42066
37056,42066
39869,42602
42901,36722
36831,39847
37585,35545
42066,36766
37451,42911
41579,37050
41222,40100
41222,40100
35253,37389
37451,42911
35945,41139
41858,37477
42148,39847
41749,37389
35545,37585
37430,41139
35945,37050
42066,39869
39869,41204
37749,42469
37430,40099
42148,37663
42066,35253
37749,42469
40021,41050
37451,42911
37050,40100
35545,37585
42430,37389
37279,36228
37161,35253
40342,41858
37389,35253
37451,37279
37585,40100
36446,35945
40962,36228
40933,35991
37451,42911
39869,35545
42622,36766
36446,41824
40436,36228
37056,37389
40436,41162
37451,42911
41061,41903
39242,42736
36602,42869
40962,37389
40436,35945
42969,35991
42066,35253
37430,40109
40342,40100
42602,42736
42911,36722
42469,37749
37451,40100
41204,39869
36228,35253
40170,40021
42969,40109
36446,42106
41139,35945
37279,40109
41050,37749
39870,37663
36766,35253
37161,35253
42066,41204
37477,37389
42869,36602
41858,41999
37585,37451
42911,42622
37663,36228
41579,41749
40109,35991
37663,36228
37451,42911
39847,36831
42602,35253
42430,41824
37585,36766
42601,35945
41945,37161
40109,36228
41050,37430
41945,39847
41222,40100
42869,36602
40100,40448
42066,41204
35545,40342
36722,39870
37161,36228
42901,39870
36766,43016
36228,42602
41204,37279
35991,37389
37663,36766
41824,36228
36831,41162
36446,39847
35991,37389
42106,36446
36602,37451
42066,41061
42901,36722
41945,37451
37150,41204
37749,42066
39869,42066
37150,41139
40933,40170
42602,35253
41070,41050
37451,42911
42066,35253
41903,41204
35545,40342
40933,35991
37663,36602
37430,41139
39847,40109
41903,41061
36831,35253
35545,40342
37451,40962
42066,35253
43055,35253
35945,37050
42901,36722
42869,41165
36446,42106
42622,40933
37451,42911
37430,40109
35545,41165
35991,37389
41749,41579
42901,36722
43016,37050
41579,41749
41026,42901
40448,42736
41204,41061
41050,37749
42601,42736
40100,40448
40448,42736
41778,40100
41070,37653
37430,40109
42901,36722
42148,37585
41301,37585
37056,41824
41204,41824
41858,40342
41858,40342
41858,40342
42066,35253
36228,37389
41050,37749
37161,42384
36766,43016
42469,37749
35945,37050
37161,42384
39847,36831
35545,40342
40099,39847
37585,41162
42736,40342
41778,41749
41222,37161
37477,37585
37663,37430
42066,36228
41204,36228
41204,37585
42901,36228
39870,36228
37749,42469
41749,36722
41070,40100
36446,42106
40021,37056
40021,37150
42148,35991
36831,35945
37585,40342
42601,37585
42384,35253
37451,42911
37389,36228
40962,36228
37663,41162
41204,41061
41050,37389
40170,37389
35945,37430
36766,43016
42602,35253
40170,37389
37389,40170
35545,42601
42869,36602
42901,36722
40962,37389
37430,41139
41858,42601
42106,41204
42066,35253
37749,42469
41050,36602
35945,37389
35545,40342
41858,37477
42429,43055
37451,42911
37279,41824
42601,41858
36602,42869
40436,41222
37050,40100
42736,42384
42622,40933
41945,36602
42901,36722
41749,36722
40448,42736
37161,42384
40170,42066
42469,37749
41749,42901
40170,37056
37430,40109
42601,37585
41749,37389
35545,40099
37749,42469
36602,41999
41204,41050
41778,41050
36446,42106
41903,37056
37161,42384
42148,37150
40933,39847
35545,40100
37430,35945
37150,40100
37451,37161
36831,41301
37050,37150
40021,42066
42602,35253
37161,42384
40962,36228
42148,41050
40170,37585
42901,41026
42869,41858
41061,41050
41139,36766
35545,41858
41162,36228
36228,41162
37451,42911
41061,41204
37150,41903
40933,40021
37749,42469
37430,41139
42106,36446
40448,36766
35945,37050
37389,40962
42969,43016
37161,37451
42601,43055
37050,41070
42148,37451
36446,35945
41778,35991
39242,42622
36446,42106
40436,41945
41903,42384
43055,35253
36766,40962
43016,40962
37389,36228
39870,36228
41204,41824
42066,41824
37161,42384
36446,42106
37749,41050
42469,37749
41858,42601
37451,41050
42901,36722
41903,41749
36446,42106
40109,42602
36228,42602
40342,41858
37663,35253
41749,42148
37749,42469
37663,42911
41050,37749
37451,42911
42901,36722
41749,36722
39242,42736
40342,35545
40342,40448
41824,35991
40962,42430
41204,41824
35945,37430
37389,36766
41026,42901
42066,37451
36228,40021
41204,41222
36766,36722
41749,42148
41162,36228
37161,42384
41050,37749
37451,40100
37749,42469
41824,36831
39870,36722
37451,42969
37389,39870
41204,37389
37451,36228
42911,36228
42969,36228
37749,42469
41579,39870
35545,42601
42429,37050
36766,43016
35991,35253
37050,42429
42602,42622
37430,41139
37389,40962
36766,43016
41579,41070
37451,42911
41903,37056
41139,41824
37663,37749
40448,39847
35545,40342
41903,36722
39847,41824
41162,37663
37585,40100
42911,42148
42601,41778
36602,42869
36228,37749
37749,37389
40342,37430
40021,37056
37056,42066
41204,42066
40962,37389
40109,36228
35991,36228
41858,36831
35545,40342
37663,35253
41050,37749
41778,37430
35545,40342
36228,42602
43016,36228
37451,42911
40099,43055
40342,35545
41222,41999
36722,42901
42969,37279
43016,40962
36766,37585
41945,41301
41858,42148
41903,41070
36446,42106
41165,41999
41222,39847
36766,43016
37451,41050
42384,37161
42148,37477
41050,37749
42901,41749
36446,42106
37477,37585
36602,42869
40962,37389
35945,37161
42622,40933
35545,40342
36602,41165
42622,36228
41162,36228
41945,40436
37663,37050
37430,41139
41050,37749
36446,42106
37430,41139
37749,36228
35945,37050
42911,42066
37161,42384
40099,40436
39847,40436
42869,37050
37451,40962
41858,37477
37749,37663
37430,41139
35945,41070
36602,41165
42869,41165
36228,37389
37389,42622
41858,35991
35545,40342
41139,35945
41070,37050
37389,42622
39847,41824
36766,43016
41070,37050
37663,35991
40962,37389
42901,41749
41858,41945
37749,37389
37161,42384
35991,36766
37451,42911
42601,35545
36446,42106
41903,37056
40099,37430
35991,37389
41070,37050
41139,37430
35545,40099
40021,37389
40962,42106
41070,37050
36602,41165
39847,37056
40021,37056
43055,40962
37663,36766
42384,35253
41050,37749
37585,37161
35945,41070
37451,42911
41579,41749
39847,40448
39869,37451
37279,41050
40448,39847
39847,41222
42901,36722
36446,42106
37749,39847
42066,41749
41749,41070
42469,37749
41301,37585
35545,40342
41301,35991
41139,37430
40933,42622
42622,40962
35545,42601
41579,41070
40099,42869
37749,42469
40962,37389
42901,41749
42066,41050
42602,35253
41070,41579
41050,37749
36766,43016
41945,41222
42066,39847
41204,42066
43055,42602
41050,37749
37585,37430
41301,36831
37050,42429
36446,42106
35991,35991
42469,40109
41778,37749
37050,41070
41903,41061
42601,40933
39869,36766
40170,37430
35545,37585
41026,40342
37749,42469
36722,41749
41204,39242
35545,37585
36722,35545
41139,41824
42430,40962
36446,42106
37749,42469
35545,42601
37430,40962
35991,37389
36446,42106
37161,35253
40448,36831
41301,42430
37389,36766
36446,41824
36446,35945
39847,41165
41778,41749
42148,40021
41945,36831
37585,37161
42901,36722
42622,41824
40933,41061
42602,37161
42384,37161
41778,43055
42148,36831
40109,37430
37477,37585
40021,37056
41050,37430
42736,40448
41162,36228
41070,40100
37663,41061
40021,37056
41824,35991
40436,36831
41945,41999
41222,42066
41204,40436
37749,42469
36602,42869
41204,41824
42066,41824
36602,35945
35945,37389
40933,40021
37663,41050
40099,36602
42736,39242
42622,39242
35253,37389
39847,40962
41026,42901
40099,42869
35253,37389
35545,42601
41139,35945
37749,42469
42911,40109
37451,42911
36228,41749
42901,36722
39870,37653
35545,39242
36446,42106
41945,41824
37451,42911
35545,39242
41579,41070
41026,40099
42430,36831
40170,37389
41749,36831
36446,35945
40109,39847
40099,40436
37663,37389
40099,40436
41749,36228
41050,36228
37749,37389
35545,37585
36602,42869
36228,37585
36228,36831
35991,36228
43016,37451
40962,41824
37585,36831
42601,36446
39869,35945
41050,41139
36831,40962
42430,40962
35991,36228
37663,43055
40448,37161
41945,36602
40099,36602
41050,37050
37663,35991
41778,41026
37430,42384
42602,36228
40021,37056
37477,42601
36602,41165
36831,42430
42066,35991
37451,41050
41749,42148
37150,37451
40109,37430
37585,40342
37451,42911
42601,40448
37161,37663
41999,41165
37585,36766
35945,37430
39242,37389
36831,37389
37451,42911
39870,37050
42602,40100
40436,41945
42430,36228
36722,37161
36446,42106
35253,37161
37161,42384
41070,42429
36228,37389
37430,40109
37451,42911
37161,42384
42601,41026
36446,37477
36722,36831
40099,35545
37050,41070
42429,41070
37279,36228
35991,37389
35991,36228
42969,36228
41301,37585
42622,40962
41903,37161
40021,40170
37749,42469
40021,37056
35545,42601
35991,36766
41050,37749
37477,37585
42148,37585
36446,37150
40962,37451
42106,40170
40448,37161
37056,41061
41139,39869
41579,41070
40436,41165
36228,42602
42601,40342
35253,37389
37749,37663
37150,41061
36602,41999
35991,37389
39869,36722
41204,36722
39869,36722
36228,40962
42066,36766
36446,41945
41026,40100
37451,42969
43016,37389
37477,35991
41139,35945
37150,37161
40021,39869
37430,41824
35253,42066
42911,37279
42736,35991
39847,36831
36831,37389
40342,35991
37663,40962
35991,36228
36766,43016
37430,41824
41139,41824
40342,37585
35545,37585
42430,40962
35545,40342
37749,42469
42106,36446
42736,40448
42148,36831
41749,40021
35545,37585
39870,36722
42429,41204
41061,37056
37056,41903
35991,37389
42969,42911
42869,35945
42969,37279
40933,42622
42602,37663
36446,37150
41749,41778
37749,37389
37150,41162
36228,40021
41858,41204
37056,41749
36722,41749
42911,37161
41165,41222
40021,40933
41858,37477
37389,35253
35991,37430
40099,40436
40109,41139
37585,40100
37056,40021
39242,42736
41778,41749
41858,41999
41945,37050
36602,41824
36446,42106
35991,36766
42622,36766
37585,37389
40170,36228
41162,36228
41858,41026
39847,37050
40170,37150
36766,43016
41222,40100
39870,41749
37056,39869
41301,39847
37161,42384
35545,42601
36228,37477
37451,40962
42911,40962
42969,37430
41858,41204
36766,41070
40448,37161
42911,37279
37749,36228
41050,36228
37477,37585
37749,42469
41050,37749
41749,40109
35253,37389
40933,35991
42969,37451
35991,40933
40100,40342
39847,36831
41579,35945
42384,37161
36766,43016
41301,36831
41858,41026
41050,37585
37749,42469
41139,36722
39870,36722
41050,37749
41139,37389
42901,36722
41222,41999
40436,35945
41070,42066
37430,40109
35545,41858
42066,37279
35945,36766
40448,36831
37389,40962
35991,40962
35991,40962
37451,42911
37749,37389
35545,39242
42429,41579
42066,36766
41204,37050
37451,42911
37161,42384
40962,41824
41945,41999
42901,36722
40436,40342
37389,35253
37050,41070
42911,37451
39847,36831
37749,42469
39869,41061
35945,37389
37451,42911
36831,41301
41165,39869
36446,36766
35945,36228
40448,36831
41301,37389
41858,35545
37451,42911
41050,39870
37749,42469
36228,35253
43016,36766
36228,40962
37389,40962
37389,42622
35253,42066
35945,37430
41204,39242
41139,35945
37451,42911
37050,41070
35545,41858
37477,36831
36446,37663
35545,41858
41061,39869
36766,43016
37585,40962
41162,36228
35253,37389
37749,42469
41050,37279
36228,41162
37451,42911
37749,42469
37161,42384
37430,37389
42430,36831
36228,36831
36602,37050
42869,37050
41858,42148
39847,37389
39869,37050
40170,37150
37749,41050
41162,36228
41165,39869
40099,39869
41858,41026
39847,40448
43055,40342
36446,41204
37389,35253
37451,37749
41050,40109
35945,42869
37050,41070
40933,36831
40962,37663
37663,40962
35545,40100
41222,40100
39847,40342
41858,41026
35991,36766
36446,42106
41945,41824
42622,40962
41579,35945
42148,39847
42430,40099
41903,36722
41749,35991
37663,35253
37451,42911
42469,37749
41903,36722
36602,40100
41050,37451
40170,41162
37056,39869
37749,42469
41999,36602
40109,43055
41749,42429
42601,41778
36766,40448
41579,41749
37161,35945
40099,42869
42911,42969
40342,40448
41945,36602
41061,40933
35545,37585
40170,37150
39870,40962
39847,36831
37749,42469
37161,35945
36446,36766
35991,42602
39869,40933
42622,41162
37430,41162
37663,35991
41070,37050
36831,40100
37585,40342
35545,40342
42430,37389
37451,42911
41749,36722
42622,41162
40021,37150
42148,39847
41204,36831
36446,35945
42430,40962
36228,35253
37749,41050
41301,39847
41858,35991
37451,40100
41026,35991
35945,42602
41579,41070
35253,37389
35545,40342
41778,37477
36446,41824
40099,36602
42148,36831
41858,36228
41050,37749
42430,40962
42622,40962
42622,40962
36446,42106
37663,35945
43055,40448
41858,35991
37050,40100
37150,40170
36766,43016
36446,41824
41050,37749
41858,35545
42901,36722
43055,40448
36766,35253
37585,40100
37451,42911
41301,35945
37430,37389
35545,37585
41858,37585
37056,39869
41050,37749
36831,41301
42430,41824
41222,41945
39847,41162
37585,37389
36446,36228
37749,42469
37451,41050
40962,35991
40933,36831
40170,37389
36228,35253
43016,40962
39869,36766
36446,41204
35545,40342
40933,41070
43055,37663
41050,41824
36831,37050
36766,39869
39870,40962
41026,37451
42469,37389
41945,37050
42901,41026
36766,37161
41222,39847
37056,40021
41050,37749
40099,42869
40933,36831
36602,40100
41749,35991
41139,40109
37430,40109
37451,42911
37161,35945
37451,42911
35545,41858
35991,37389
35945,36602
42622,40933
41301,40962
37585,36228
40021,37056
37150,41903
40342,35545
36602,42869
37451,42911
35253,37389
35545,40342
35945,37050
37749,42469
37430,41139
41026,41858
41903,41061
35545,40342
37663,40962
36446,35945
41749,36722
42901,36722
36228,39847
36446,35991
41778,35991
41858,37585
37050,41070
36831,41162
37050,37451
42106,41858
40170,36228
42622,36228
41050,40109
42384,37161
36602,37050
41050,40109
41050,36228
36228,35253
37749,42469
42148,40021
41945,41824
40099,42869
42148,35991
